group	variants	groupName	groupMembers	variants_alias
1	B.1.1.1.37	C.37	B.1.1.1.37	C.37
2	B.1.1.28.1	P.1	B.1.1.28.1	P.1
3	B.1.1.529.1	BA.1	B.1.1.529.1	BA.1
4	B.1.1.529.2	BA.2	B.1.1.529.2	BA.2
5	B.1.1.529.2.12	BA.2.12	B.1.1.529.2.12	BA.2.12
6	B.1.1.529.2.3.20	BA.2.3.20	B.1.1.529.2.3.20	BA.2.3.20
7	B.1.1.529.2.75	BA.2.75	B.1.1.529.2.75	BA.2.75
8	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1
9	B.1.1.529.2.75.5.1	BN.1	B.1.1.529.2.75.5.1	BN.1
10	B.1.1.529.2.9	BA.2.9	B.1.1.529.2.9	BA.2.9
11	B.1.1.529.4	BA.4	B.1.1.529.4	BA.4
12	B.1.1.529.5	BA.5	B.1.1.529.5	BA.5
13	B.1.1.529.5.1	BA.5.1	B.1.1.529.5.1	BA.5.1
14	B.1.1.529.5.2.1	BA.5.2.1	B.1.1.529.5.2.1	BA.5.2.1
15	B.1.1.529.5.2.1.14	BF.14	B.1.1.529.5.2.1.14	BF.14
16	B.1.1.529.5.2.1.7	BF.7	B.1.1.529.5.2.1.7	BF.7
17	B.1.1.529.5.3.1.1.1.1.1	BQ.1	B.1.1.529.5.3.1.1.1.1.1	BQ.1
18	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
19	B.1.160	B.1.160	B.1.160	B.1.160
20	B.1.351	B.1.351	B.1.351	B.1.351
21	B.1.525	B.1.525	B.1.525	B.1.525
22	B.1.526	B.1.526	B.1.526	B.1.526
23	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
24	B.1.617.2.112	AY.112	B.1.617.2.112	AY.112
25	B.1.617.2.122	AY.122	B.1.617.2.122	AY.122
26	B.1.617.2.43	AY.43	B.1.617.2.43	AY.43
27	B.1.621	B.1.621	B.1.621	B.1.621
28	B.1.621.1	B.1.621.1	B.1.621.1	B.1.621.1
29	XBB	XBB	XBB	XBB
30	XBB.1	XBB.1	XBB.1	XBB.1
31	XBB.1.16	XBB.1.16	XBB.1.16	XBB.1.16
32	XBB.1.5	XBB.1.5	XBB.1.5	XBB.1.5
33	XBB.1.9	XBB.1.9	XBB.1.9	XBB.1.9
34	XBB.1.9.1	XBB.1.9.1	XBB.1.9.1	XBB.1.9.1
35	XBB.1.9.2	XBB.1.9.2	XBB.1.9.2	XBB.1.9.2
36	XBB.1.9.2.1.2	EG.1.2	XBB.1.9.2.1.2	EG.1.2
37	XBB.2.3	XBB.2.3	XBB.2.3	XBB.2.3
